year,pin,class,av,eav,exe_homeowner,exe_senior,exe_freeze,exe_longtime_homeowner,exe_disabled,exe_vet_returning,exe_vet_dis_lt50,exe_vet_dis_50_69,exe_vet_dis_ge70,exe_abate
2006,13132310180000,211,51628,139788,40000,0,0,0,0,0,0,0,0,0
2007,13132310180000,211,51628,146825,26000,0,0,0,0,0,0,0,0,0
2008,13132310180000,211,51628,153779,20000,0,0,0,0,0,0,0,0,0
2009,13132310180000,211,49841,167969,0,0,0,0,0,0,0,0,0,0
2010,13132310180000,211,49841,164475,0,0,0,0,0,0,0,0,0,0
2011,13132310180000,211,49841,148058,0,0,0,0,0,0,0,0,0,0
2012,13132310180000,211,43613,122361,0,0,0,0,0,0,0,0,0,0
2013,13132310180000,211,43613,116102,0,0,0,0,0,0,0,0,0,0
2014,13132310180000,211,43613,118859,0,0,0,0,0,0,0,0,0,0
2015,13132310180000,211,49663,132526,0,0,0,0,0,0,0,0,0,0
2016,13132310180000,211,49663,139215,0,0,0,0,0,0,0,0,0,0
2017,13132310180000,211,42804,126815,0,0,0,0,0,0,0,0,0,0
2018,13132310180000,211,59543,173324,0,0,0,0,0,0,0,0,0,0
2019,13132310180000,211,59543,173627,0,0,0,0,0,0,0,0,0,0
2020,13132310180000,211,52993,170818,0,0,0,0,0,0,0,0,0,0
2021,13132310180000,211,73083,219446,0,0,0,0,0,0,0,0,0,0
2022,13132310180000,211,67130,196268,0,0,0,0,0,0,0,0,0,0
2023,13132310180000,211,67130,202484,0,0,0,0,0,0,0,0,0,0
